Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	14.599033
1	Clockticks	212041200000
1	Instructions Retired	242585700000
1	CPI Rate	0.874088
1	MUX Reliability	0.990614
1	Front-End Bound	25.0
2	Front-End Latency	14.4
3	ICache Misses	1.5
3	ITLB Overhead	0.3
3	Branch Resteers	4.5
4	Mispredicts Resteers	3.3
4	Clears Resteers	0.0
4	Unknown Branches	1.2
3	DSB Switches	3.7
3	Length Changing Prefixes	0.0
3	MS Switches	0.8
2	Front-End Bandwidth	10.6
3	Front-End Bandwidth MITE	15.9
3	Front-End Bandwidth DSB	18.9
3	Front-End Bandwidth LSD	1.0
3	(Info) DSB Coverage	61.8
3	(Info) LSD Coverage	9.6
1	Bad Speculation	6.4
2	Branch Mispredict	6.4
2	Machine Clears	0.1
1	Back-End Bound	22.6
2	Memory Bound	14.8
3	L1 Bound	12.5
4	DTLB Overhead	4.3
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	4.5
4	FB Full	49.8
3	L2 Bound	1.6
3	L3 Bound	4.2
4	Contested Accesses	3.1
4	Data Sharing	0.2
4	L3 Latency	8.6
4	SQ Full	2.7
3	DRAM Bound	16.4
4	Memory Bandwidth	45.7
4	Memory Latency	44.6
5	Local DRAM	22.8
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	8.7
4	Store Latency	32.9
5	Store L2	1.7
5	Store L3	11.4
5	Store Memory	19.8
4	False Sharing	1.0
4	Split Stores	0.3
4	DTLB Store Overhead	0.7
2	Core Bound	7.8
3	Divider	1.4
3	Port Utilization	23.0
4	Cycles of 0 Ports Utilized	69.2
4	Cycles of 1 Port Utilized	14.8
4	Cycles of 2 Ports Utilized	17.5
4	Cycles of 3+ Ports Utilized	36.8
5	Port 0	24.1
5	Port 1	22.9
5	Port 2	38.1
5	Port 3	38.8
5	Port 4	27.4
5	Port 5	23.0
5	Port 6	41.3
5	Port 7	17.0
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	46.0
2	General Retirement	45.3
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	0.7
3	Assists	0.0
1	Total Thread Count	139
1	Paused Time	0.0
1	Frame Count	21
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	172797256
1	Collection start time	20:55:25 16/12/2018 UTC
1	Collection stop time	20:55:40 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998465
2	Logical CPU Count	32
