Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	8.822658
1	Clockticks	89481000000
1	Instructions Retired	100155300000
1	CPI Rate	0.893423
1	MUX Reliability	0.985686
1	Front-End Bound	30.7
2	Front-End Latency	16.9
3	ICache Misses	4.1
3	ITLB Overhead	2.9
3	Branch Resteers	3.9
4	Mispredicts Resteers	2.5
4	Clears Resteers	0.0
4	Unknown Branches	1.4
3	DSB Switches	1.0
3	Length Changing Prefixes	0.0
3	MS Switches	4.9
2	Front-End Bandwidth	13.8
3	Front-End Bandwidth MITE	31.8
3	Front-End Bandwidth DSB	7.9
3	Front-End Bandwidth LSD	0.2
3	(Info) DSB Coverage	41.1
3	(Info) LSD Coverage	2.0
1	Bad Speculation	9.5
2	Branch Mispredict	9.5
2	Machine Clears	0.0
1	Back-End Bound	16.8
2	Memory Bound	9.7
3	L1 Bound	13.1
4	DTLB Overhead	6.3
4	Loads Blocked by Store Forwarding	0.3
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	2.7
4	FB Full	5.3
3	L2 Bound	1.6
3	L3 Bound	6.1
4	Contested Accesses	3.8
4	Data Sharing	0.1
4	L3 Latency	11.7
4	SQ Full	0.4
3	DRAM Bound	1.5
4	Memory Bandwidth	48.9
4	Memory Latency	32.0
5	Local DRAM	1.0
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	6.8
4	Store Latency	22.4
5	Store L2	1.5
5	Store L3	17.8
5	Store Memory	3.0
4	False Sharing	0.0
4	Split Stores	0.0
4	DTLB Store Overhead	1.2
2	Core Bound	7.1
3	Divider	0.1
3	Port Utilization	21.3
4	Cycles of 0 Ports Utilized	53.0
4	Cycles of 1 Port Utilized	9.4
4	Cycles of 2 Ports Utilized	13.8
4	Cycles of 3+ Ports Utilized	29.7
5	Port 0	18.3
5	Port 1	19.1
5	Port 2	30.7
5	Port 3	31.4
5	Port 4	24.8
5	Port 5	20.0
5	Port 6	38.1
5	Port 7	14.4
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	43.0
2	General Retirement	39.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	3.3
3	Assists	0.0
1	Total Thread Count	148
1	Paused Time	0.0
1	Frame Count	16
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	115681980
1	Collection start time	21:40:14 19/11/2018 UTC
1	Collection stop time	21:40:23 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998426
2	Logical CPU Count	32
