Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	18.873250
1	Clockticks	140542500000
1	Instructions Retired	171906000000
1	CPI Rate	0.817554
1	MUX Reliability	0.959333
1	Front-End Bound	24.7
2	Front-End Latency	13.3
3	ICache Misses	2.1
3	ITLB Overhead	0.4
3	Branch Resteers	5.4
4	Mispredicts Resteers	3.6
4	Clears Resteers	0.0
4	Unknown Branches	1.7
3	DSB Switches	4.1
3	Length Changing Prefixes	0.0
3	MS Switches	0.6
2	Front-End Bandwidth	11.5
3	Front-End Bandwidth MITE	17.4
3	Front-End Bandwidth DSB	18.0
3	Front-End Bandwidth LSD	1.2
3	(Info) DSB Coverage	59.9
3	(Info) LSD Coverage	9.9
1	Bad Speculation	6.8
2	Branch Mispredict	6.7
2	Machine Clears	0.1
1	Back-End Bound	18.2
2	Memory Bound	11.0
3	L1 Bound	14.8
4	DTLB Overhead	5.3
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	3.8
4	FB Full	37.2
3	L2 Bound	1.9
3	L3 Bound	7.7
4	Contested Accesses	2.8
4	Data Sharing	0.1
4	L3 Latency	19.4
4	SQ Full	2.3
3	DRAM Bound	6.3
4	Memory Bandwidth	41.8
4	Memory Latency	49.6
5	Local DRAM	10.5
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	7.8
4	Store Latency	27.5
5	Store L2	1.9
5	Store L3	7.2
5	Store Memory	18.5
4	False Sharing	0.0
4	Split Stores	0.3
4	DTLB Store Overhead	0.5
2	Core Bound	7.2
3	Divider	2.0
3	Port Utilization	25.2
4	Cycles of 0 Ports Utilized	73.9
4	Cycles of 1 Port Utilized	13.7
4	Cycles of 2 Ports Utilized	18.8
4	Cycles of 3+ Ports Utilized	41.4
5	Port 0	26.9
5	Port 1	24.5
5	Port 2	39.5
5	Port 3	40.4
5	Port 4	26.3
5	Port 5	24.9
5	Port 6	43.5
5	Port 7	16.4
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	50.3
2	General Retirement	49.7
3	FP Arithmetic	0.1
4	FP x87	0.0
4	FP Scalar	0.1
4	FP Vector	0.0
3	Other	99.9
2	Microcode Sequencer	0.6
3	Assists	0.0
1	Total Thread Count	85
1	Paused Time	0.0
0	Collection and Platform Info	
1	Application Command Line	sudo "numactl" "--physcpubind=2,3,18,19" "--membind=0" "sudo" "/usr/local/spark/bin/spark-submit" "/home/hduser/Tungsten/Benchmark/samikshabench.jar" "on" "basicwordcount" "../wc_inputs/1gb" 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	94421035
1	Collection start time	21:31:15 17/12/2018 UTC
1	Collection stop time	21:31:34 17/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998565
2	Logical CPU Count	32
