Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	23.342186
1	Clockticks	493905300000
1	Instructions Retired	571519200000
1	CPI Rate	0.864197
1	MUX Reliability	0.999604
1	Front-End Bound	33.1
2	Front-End Latency	13.0
3	ICache Misses	1.6
3	ITLB Overhead	3.1
3	Branch Resteers	0.6
4	Mispredicts Resteers	0.5
4	Clears Resteers	0.0
4	Unknown Branches	0.2
3	DSB Switches	0.9
3	Length Changing Prefixes	0.0
3	MS Switches	8.5
2	Front-End Bandwidth	20.2
3	Front-End Bandwidth MITE	54.9
3	Front-End Bandwidth DSB	3.4
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	13.2
3	(Info) LSD Coverage	0.4
1	Bad Speculation	3.9
2	Branch Mispredict	3.7
2	Machine Clears	0.2
1	Back-End Bound	4.3
2	Memory Bound	1.9
3	L1 Bound	18.8
4	DTLB Overhead	9.7
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	2.3
4	FB Full	1.1
3	L2 Bound	1.0
3	L3 Bound	1.8
4	Contested Accesses	0.0
4	Data Sharing	0.0
4	L3 Latency	2.2
4	SQ Full	0.5
3	DRAM Bound	0.2
4	Memory Bandwidth	64.8
4	Memory Latency	29.2
5	Local DRAM	0.3
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	2.1
4	Store Latency	18.7
5	Store L2	2.9
5	Store L3	4.3
5	Store Memory	11.6
4	False Sharing	0.3
4	Split Stores	0.1
4	DTLB Store Overhead	1.5
2	Core Bound	2.3
3	Divider	0.4
3	Port Utilization	29.2
4	Cycles of 0 Ports Utilized	82.9
4	Cycles of 1 Port Utilized	12.6
4	Cycles of 2 Ports Utilized	20.2
4	Cycles of 3+ Ports Utilized	50.1
5	Port 0	27.7
5	Port 1	27.6
5	Port 2	40.2
5	Port 3	41.3
5	Port 4	37.7
5	Port 5	28.0
5	Port 6	47.9
5	Port 7	21.4
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	58.8
2	General Retirement	51.4
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	7.4
3	Assists	0.0
1	Total Thread Count	147
1	Paused Time	0.0
1	Frame Count	43
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	338470995
1	Collection start time	21:46:00 19/11/2018 UTC
1	Collection stop time	21:46:23 19/11/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998554
2	Logical CPU Count	32
