Cycles of 3+ Ports Utilized	51	54.6	66.3	70.1	71.7	41.5	54.9	65.7	55.1	70.1
Port 0	24.9	24.8	28.5	29.2	29.5	19.1	23.8	28.5	23.8	28.8
Port 1	26	26.4	29.3	30.8	31.2	20.8	26.5	30	25.6	30.8
Port 2	52.4	53.8	60.5	64	65.2	44.7	55	62	53.8	64.2
Port 3	53.2	54.4	61.1	64.6	65.7	45.1	55.5	62.6	54.2	64.8
Port 4	36.2	36.7	41.9	44.4	45.4	31.2	38.2	42.6	37.3	44.2
Port 5	27.4	27.7	30.7	32.5	32.7	22.2	27.6	30.8	26.8	32.3
Port 6	43.7	44.5	46.6	49	48.9	40	44.9	46.9	42	48.2
Port 7	29.6	31.3	35.5	37.9	38.8	25.5	31.7	36.1	31.8	38.2
Vector Capacity Usage (FPU)	0	0	0	0	0	0	0	0	0	0
Retiring	56.5	59.4	68.5	71.4	72.8	50.7	62.4	67.9	59	71.7
General Retirement	55.9	59.1	68.3	71.1	72.5	50.2	62.1	67.6	58.8	71.4
FP Arithmetic	0	0	0	0	0	0	0	0	0	0
FP x87	0	0	0	0	0	0	0	0	0	0
FP Scalar	0	0	0	0	0	0	0	0	0	0
FP Vector	0	0	0	0	0	0	0	0	0	0
Other	100	100	100	100	100	100	100	100	100	100
Microcode Sequencer	0.6	0.3	0.2	0.4	0.3	0.5	0.4	0.3	0.2	0.3
Assists	0	0	0	0	0	0	0	0	0	0
Total Thread Count	145	147	149	150	149	146	148	148	146	146
Paused Time	0	0	0	0	0	0	0	0	0	0
Frame Count	18	26	30	40	41	19	24	31	38	45
